accoutrements	accouterments
draughtier	draftier
draughtiest	draftiest
draughts	drafts
draughtsman	draftsman
draughtsmanship	draftsmanship
draughtsmen	draftsmen
draughtswoman	draftswoman
draughtswomen	draftswomen
draughty	drafty
dreamt	dreamed
drivelled	driveled
drivelling	driveling
duelled	dueled
duelling	dueling
edoema	edema
enamelled	enameled
enamelling	enameling
enamoured	enamored
encyclopaedia	encyclopedia
encyclopaedias	encyclopedias
encyclopaedic	encyclopedic
endeavour	endeavor
endeavoured	endeavored
endeavouring	endeavoring
endeavours	endeavors
enrol	enroll
enrols	enrolls
enthral	enthrall
enthrals	enthralls
epaulette	epaulet
epaulettes	epaulets
epicentre	epicenter
epicentres	epicenters
epilogue	epilog
epilogues	epilogs
equalled	equaled
equalling	equaling
faecal	fecal
faeces	feces
favour	favor
favourable	favorable
favourably	favorably
favoured	favored
favouring	favoring
favourite	favorite
favourites	favorites
favouritism	favoritism
favours	favors
fervour	fervor
fibre	fiber
fibreglass	fiberglass
fibres	fibers
fillet	filet
filleted	fileted
filleting	fileting
fillets	filets
film	movie
flautist	flutist
flautists	flutists
flavour	flavor
flavoured	flavored
flavouring	flavoring
flavourings	flavorings
flavourless	flavorless
flavours	flavors
flavoursome	flavorsome
flyer/flier	flier/flyer
foetal	fetal
foetid	fetid
foetus	fetus
foetuses	fetuses
formulae	formulas
forthcoming	upcoming
fuelled	fueled
fuelling	fueling
fulfil	fulfill
fulfilment	fulfillment
fulfils	fulfills
funnelled	funneled
funnelling	funneling
furore	furor
gambolled	gamboled
gambolling	gamboling
gaol	jail
gaolbird	jailbird
gaolbirds	jailbirds
gaolbreak	jailbreak
gaolbreaks	jailbreaks
gipsies	gypsies
glamour	glamor
globally	globaly
glueing	gluing
glycerine	glycerin
goitre	goiter
goitres	goiters
gonorrhoea	gonorrhea
gravelled	graveled
grey	gray
greyed	grayed
greying	graying
greyish	grayish
greylist	graylist
greylisted	graylisted
greylisting	graylisting
greyness	grayness
greys	grays
grovelled	groveled
grovelling	groveling
groyne	groin
groynes	groins
gruelling	grueling
gruellingly	gruelingly
gryphon	griffin
gryphons	griffins
guerrilla	guerilla
gynaecological	gynecological
gynaecologist	gynecologist
gynaecologists	gynecologists
gynaecology	gynecology
haematological	hematological
haematologist	hematologist
haematologists	hematologists
haematology	hematology
haemoglobin	hemoglobin
haemophilia	hemophilia
haemophiliac	hemophiliac
haemophiliacs	hemophiliacs
haemorrhage	hemorrhage
haemorrhaged	hemorrhaged
haemorrhages	hemorrhages
haemorrhaging	hemorrhaging
haemorrhoids	hemorrhoids
harbour	harbor
harboured	harbored
harbouring	harboring
harbours	harbors
haulier	hauler
homoeopath	homeopath
homoeopathic	homeopathic
homoeopaths	homeopaths
homoeopathy	homeopathy
honour	honor
honourable	honorable
honourably	honorably
honoured	honored
honouring	honoring
honours	honors
humour	humor
humoured	humored
humouring	humoring
humourless	humorless
humours	humors
impanelled	impaneled
impanelling	impaneling
imperilled	imperiled
imperilling	imperiling
inflexion	inflection
inflexions	inflections
initialled	initialed
initialling	initialing
instal	install
instalment	installment
instalments	installments
instals	installs
instil	instill
instils	instills
jewelled	jeweled
jeweller	jeweler
jewellers	jewelers
jewellery	jewelery
jewellery	jewelry
journalling	journaling
judgement	judgment
kilogramme	kilogram
kilogrammes	kilograms
kilometre	kilometer
kilometres	kilometers
knelt	kneeled
labelled	labeled
labeller	labeler
labelling	labeling
labour	labor
laboured	labored
labourer	laborer
labourers	laborers
labouring	laboring
labours	labors
lacklustre	lackluster
ladybird	ladybug
learnt	learned
lept	leaped
letterbox	mailbox
leukaemia	leukemia
levelled	leveled
leveller	leveler
levellers	levelers
levelling	leveling
libelled	libeled
libelling	libeling
libellous	libelous
licence	license
licenced	licensed
licences	licenses
licencing	licensing
likeable	likable
lit	lighted
litre	liter
litre	liter
litre	liter
litres	liters
louvre	louver
louvred	louvered
louvres	louvers
manoeuvrability	maneuverability
manoeuvrable	maneuverable
manoeuvre	maneuver
manoeuvred	maneuvered
manoeuvres	maneuvers
manoeuvring	maneuvering
manoeuvrings	maneuverings
marshalled	marshaled
marshalling	marshaling
marvelled	marveled
marvelling	marveling
marvellous	marvelous
marvellously	marvelously
maths	math
meagre	meager
mediaeval	medieval
metre	meter
metres	meters
micrometre	micrometer
micrometres	micrometers
milligramme	milligram
milligrammes	milligrams
millilitre	milliliter
millilitres	milliliters
millimetre	millimeter
millimetres	millimeters
minibuses	minibusses
misbehaviour	misbehavior
misdemeanour	misdemeanor
misdemeanours	misdemeanors
misspelt	misspelled
mitre	miter
mitres	miters
modelled	modeled
modeller	modeler
modellers	modelers
modelling	modeling
monologue	monolog
monologues	monologs
mould	mold
moulded	molded
moulder	molder
mouldered	moldered
mouldering	moldering
moulders	molders
mouldier	moldier
mouldiest	moldiest
moulding	molding
mouldings	moldings
moulds	molds
mouldy	moldy
moult	molt
moulted	molted
moulting	molting
moults	molts
moustache	mustache
moustached	mustached
moustaches	mustaches
moustachioed	mustachioed
multicoloured	multicolored
nanometre	nanometer
neighbour	neighbor
neighbourhood	neighborhood
neighbourhoods	neighborhoods
neighbouring	neighboring
neighbourliness	neighborliness
neighbourly	neighborly
neighbours	neighbors
neurone	neuron
newsagent	newsdealer
number plate	license plate
odour	odor
odourless	odorless
odours	odors
oenology	enology
oesophagus	esophagus
oesophaguses	esophaguses
oestrogen	estrogen
offence	offense
offences	offenses
omelette	omelet
omelettes	omelets
orch	flashlight
orthopaedic	orthopedic
orthopaedics	orthopedics
outmanoeuvre	outmaneuver
outmanoeuvred	outmaneuvered
outmanoeuvres	outmaneuvers
outmanoeuvring	outmaneuvering
paederast	pederast
paederasts	pederasts
paediatric	pediatric
paediatrician	pediatrician
paediatricians	pediatricians
paediatrics	pediatrics
paedophile	pedophile
paedophiles	pedophiles
paedophilia	pedophilia
palaeolithic	paleolithic
palaeontologist	paleontologist
palaeontologists	paleontologists
palaeontology	paleontology
panelled	paneled
panelling	paneling
panellist	panelist
panellists	panelists
paralyse	paralyze
paralysed	paralyzed
paralyses	paralyzes
paralysing	paralyzing
parcelled	parceled
parcelling	parceling
parlour	parlor
parlours	parlors
pavement	sidewalk
pedalled	pedaled
pedalling	pedaling
pencilled	penciled
pencilling	penciling
pernickety	persnickety
petrol	gasoline
pharmacopoeia	pharmacopeia
pharmacopoeias	pharmacopeias
pharmacy	drugstore
philtre	filter
philtres	filters
phoney	phony
picometre	picometer
plough	plow
ploughed	plowed
ploughing	plowing
ploughman	plowman
ploughmen	plowmen
ploughs	plows
ploughshare	plowshare
ploughshares	plowshares
postman	mailman
pouffe	pouf
pouffes	poufs
practise	practice
practised	practiced
practises	practices
practising	practicing
praesidium	presidium
praesidiums	presidiums
première	premiere
pretence	pretense
pretences	pretenses
primaeval	primeval
programme	program
programmes	programs
prologue	prolog
prologues	prologs
psychoanalyse	psychoanalyze
psychoanalysed	psychoanalyzed
psychoanalyses	psychoanalyzes
psychoanalysing	psychoanalyzing
pummelled	pummel
pummelling	pummeled
pyjama	pajama
pyjamas	pajamas
pzazz	pizzazz
quarrelled	quarreled
quarrelling	quarreling
quarter	fourth
quin	quint
railway	railroad
rancour	rancor
ravelled	raveled
ravelling	raveling
recognisably	recognizably
recognisance	recognizance
reconnoitre	reconnoiter
reconnoitred	reconnoitered
reconnoitres	reconnoiters
reconnoitring	reconnoitering
refuelled	refueled
refuelling	refueling
remodelled	remodeled
remodelling	remodeling
remould	remold
remoulded	remolded
remoulding	remolding
remoulds	remolds
revelled	reveled
reveller	reveler
revellers	revelers
revelling	reveling
rigour	rigor
rigours	rigors
rivalled	rivaled
rivalling	rivaling
rubbish	garbage
rumour	rumor
rumoured	rumored
rumours	rumors
sabre	saber
sabres	sabers
sailing boat	sailboat
saltpetre	saltpeter
sanatorium	sanitarium
saviour	savior
saviours	saviors
savour	savor
savoured	savored
savouries	savories
savouring	savoring
savours	savors
savoury	savory
scallywag	scalawag
sceptic	skeptic
sceptical	skeptical
sceptically	skeptically
scepticism	skepticism
sceptics	skeptics
sceptre	scepter
sceptres	scepters
sepulchre	sepulcher
sepulchres	sepulchers
sheikh	sheik
shovelled	shoveled
shovelling	shoveling
shrivelled	shriveled
shrivelling	shriveling
signalled	signaled
signalling	signaling
simultaneous	simultanous
skilful	skillful
skilfully	skillfully
sleigh	sled
smoulder	smolder
smouldered	smoldered
smouldering	smoldering
smoulders	smolders
snivelled	sniveled
snivelling	sniveling
snorkelled	snorkeled
snorkelling	snorkeling
snowplough	snowplow
snowploughs	snowplow
sombre	somber
speciality	specialty
spectre	specter
spectres	specters
spelt	spelled
spilt	spilled
spiralled	spiraled
spiralling	spiraling
splendour	splendor
splendours	splendors
spoilt	spoiled
squirrelled	squirreled
squirrelling	squirreling
stencilled	stenciled
stencilling	stenciling
storey	story
storeys	stories
succour	succor
succoured	succored
succouring	succoring
succours	succors
sulphate	sulfate
sulphates	sulfates
sulphide	sulfide
sulphides	sulfides
sulphur	sulfur
sulphurous	sulfurous
surname	last name
swivelled	swiveled
swivelling	swiveling
syphon	siphon
syphoned	siphoned
syphoning	siphoning
syphons	siphons
tasselled	tasseled
tea towel	dishtowel
technicolour	technicolor
theatre	theater
theatregoer	theatergoer
theatregoers	theatergoers
theatres	theaters
tickbox	checkbox
tights	pantyhose
titbit	tidbit
toffee	taffy
totalled	totaled
totaller	totaler
totalling	totaling
towelled	toweled
towelling	toweling
toxaemia	toxemia
tram	streetcar
tranquillize	tranquilize
tranquillized	tranquilized
tranquillizer	tranquilizer
tranquillizers	tranquilizers
tranquillizes	tranquilizes
tranquillizing	tranquilizing
tranquillity	tranquility
tranquillize	tranquilize
tranquillized	tranquilized
tranquillizer	tranquilizer
tranquillizers	tranquilizers
tranquillizes	tranquilizes
tranquillizing	tranquilizing
tranquilly	tranquility
transport	transportation
travelled	traveled
traveller	traveler
travellers	travelers
travelling	traveling
travelogue	travelog
travelogues	travelogs
trialled	trialed
trialling	trialing
tricolour	tricolor
tricolours	tricolors
tumour	tumor
tumours	tumors
tunnelled	tunneled
tunnelling	tunneling
tyre	tire
tyres	tires
unequalled	unequaled
unfavourable	unfavorable
unfavourably	unfavorably
unfeasible	infeasible
unravelled	unraveled
unravelling	unraveling
unrivalled	unrivaled
unsavoury	unsavory
untrammelled	untrammeled
upmarket	upscale
usable	useable
valour	valor
vapour	vapor
vapours	vapors
vectorization	vectorisation
vice	vise
videodisc	videodisk
videodiscs	videodisks
vigour	vigor
watercolour	watercolor
watercolours	watercolors
weaselled	weaseled
weaselling	weaseling
wilful	willful
wilfully	willfully
windscreen	windshield
woollen	woolen
woollens	woolens
woollies	woolies
woolly	wooly
worshipped	worshiped
worshipper	worshiper
worshipping	worshiping
yodelled	yodeled
yodelling	yodeling
